jeff 677000
jeff 676999
jefe 1000
sleepy 1500
nigerian 1000
jeff 1000
nama 142
winner 83
loser 92
ramirez 31250
jeff 24390
wildcard 0
bangbelae_frgo 3448
05/03/18 500
emilio 0
nigerienne 8333
kai 9523
e-man-22 11764
losing-again 5882
soundo 6666
lucifer-allah 5882
